"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"IQD1";"SQD1";"PR1";"DIS1";"PI1";"CP1";"HAB1";"AA1";"IQD2";"PR2";"DIS2";"PI2";"CP2";"HAB2";"AA2";"SN1";"IQD3";"SQD2";"PR3";"PI3";"CP3";"HAB3";"AA3";"SN2";"AT1";"IQD4";"SQD3";"PR4";"DIS3";"CP4";"HAB4";"AA4";"SN3";"AT2";"SI1";"SI2";"SI3";"BI1";"BI2";"BI3";"A201";"A202_01";"A203";"A203_01";"A203_02";"A203_03";"A203_04";"A203_05";"A203_06";"A203_07";"A203_08";"A203_09";"A203_10";"A203_11";"A203_11a";"A204";"A204_11";"A205";"A206";"A207";"A208";"AAI1";"AAI2";"AAI3";"AAI4";"AAI5";"AAI6";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME_SUM";"MAILSENT";"LASTDATA";"STATUS";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
115;;;"base";"interview";2026-06-25 18:02:56;4;5;2;2;3;7;7;6;5;3;4;2;6;7;6;3;5;3;2;4;6;6;6;3;6;6;4;2;6;6;6;5;6;1;3;3;2;6;6;6;2;34;2;2;1;2;1;1;1;1;1;1;1;1;;3;;3;2;3;2;6;5;5;3;4;4;22;19;79;87;90;59;24;29;24;36;469;;2026-06-25 18:10:45;"complete";1;0;10;10;0;0;1,07
117;;;"base";"interview";2026-06-25 18:04:08;4;5;6;2;6;3;7;3;2;3;4;6;6;6;5;1;3;2;6;6;6;6;3;2;6;4;3;2;2;6;7;5;3;1;3;2;1;6;6;6;1;25;6;2;2;1;1;2;2;1;1;2;2;1;;2;;5;3;5;2;1;4;1;5;1;4;18;19;65;47;241;116;23;34;22;27;453;;2026-06-25 18:14:20;"complete";1;0;10;10;0;0;1,09
119;;;"base";"interview";2026-06-25 18:04:42;2;1;4;2;1;5;6;2;2;4;2;1;6;7;1;1;2;1;4;1;6;7;2;1;6;2;2;4;2;6;7;4;1;1;2;2;2;6;5;5;2;27;1;2;1;1;1;1;1;1;1;1;1;1;;1;;4;4;4;2;3;5;4;5;3;4;53400;14;388;84;59;69;21;91;41;39;505;;2026-06-26 09:08:10;"complete";1;0;10;10;0;0;0,84
121;;;"base";"interview";2026-06-25 18:16:13;3;4;6;2;7;6;7;7;3;5;3;7;7;6;7;2;2;7;3;7;6;7;6;2;6;4;4;4;2;7;6;2;2;1;2;2;3;5;6;5;1;26;7;2;2;2;1;2;1;1;2;2;2;1;;2;;5;3;5;3;5;6;6;4;5;5;4;12;43;54;55;70;34;43;22;207;380;;2026-06-25 18:25:18;"complete";1;0;10;10;0;0;1,36
122;;;"base";"interview";2026-06-25 19:06:21;3;4;7;1;2;6;2;6;5;6;3;1;6;6;6;2;4;2;5;2;6;5;6;4;6;5;4;6;3;6;6;6;2;1;2;2;2;2;2;2;2;58;1;2;1;1;1;1;1;1;1;1;1;1;;1;;2;2;1;1;4;3;2;4;3;1;5;5;53;5167;67;64;39;13;34;44;394;;2026-06-25 20:37:53;"complete";1;0;10;10;0;0;1,52
125;;;"base";"interview";2026-06-25 23:03:58;6;3;7;6;5;5;7;7;2;7;2;6;7;6;6;2;2;1;7;6;7;7;6;2;6;2;1;7;1;7;6;6;2;1;2;6;3;4;6;6;1;29;7;2;2;2;2;2;1;1;2;1;2;1;;2;;5;2;5;2;4;6;5;4;4;5;8;26;61;226;117;67;20;63;35;43;510;;2026-06-25 23:15:07;"complete";1;0;10;10;0;0;0,99
137;;;"base";"interview";2026-06-26 11:11:28;6;3;7;5;7;5;5;6;3;5;1;6;3;5;5;1;5;3;5;6;6;6;6;1;6;3;3;3;1;5;6;5;1;1;2;3;1;6;6;6;1;59;6;2;2;2;1;2;1;1;1;2;2;1;;2;;4;3;5;2;4;6;6;3;3;5;8;48;133;109;150;140;38;56;42;73;771;;2026-06-26 11:24:46;"complete";1;0;10;10;0;0;0,75
140;;;"base";"interview";2026-06-26 11:28:42;2;2;6;2;5;5;6;6;2;4;2;5;5;6;6;4;2;2;4;5;6;5;6;4;6;2;2;3;2;6;6;4;2;1;3;3;3;5;5;5;1;27;4;2;1;2;1;2;1;1;1;2;1;1;;1;;4;4;5;3;5;5;6;5;3;4;5;14;53;42;67;358;15;35;29;31;362;;2026-06-26 11:39:31;"complete";1;0;10;10;0;0;1,41
142;;;"base";"interview";2026-06-26 11:39:19;5;5;6;2;5;6;7;7;3;5;2;3;6;6;6;3;2;3;5;4;3;7;6;2;6;3;2;2;5;6;5;3;5;1;5;5;3;6;6;5;1;21;3;2;2;1;1;1;1;1;1;2;1;1;;1;;4;4;5;3;6;6;7;6;7;6;13;17;65;78;63;222;12;17;19;24;379;;2026-06-26 11:48:09;"complete";1;0;10;10;0;0;1,4
145;;;"base";"interview";2026-06-26 11:57:36;5;3;6;6;3;5;7;7;3;5;4;3;6;6;6;3;3;3;5;3;6;5;6;2;6;4;3;5;2;6;6;5;4;1;3;3;2;6;6;6;1;21;3;2;1;1;2;2;1;1;1;1;1;1;;5;;5;3;3;3;5;5;6;6;3;5;22;26;75;57;61;72;18;33;36;49;449;;2026-06-26 12:05:06;"complete";1;0;10;10;0;0;1,04
